trackName,artist,date,region
Starboy,The Weeknd,1/1/17,lt
Starboy,The Weeknd,1/1/17,ee
Starboy,The Weeknd,1/1/17,ca
Starboy,The Weeknd,1/1/17,pt
Starboy,The Weeknd,1/1/17,is
Starboy,The Weeknd,1/1/17,sk
Starboy,The Weeknd,1/1/17,lu
Starboy,The Weeknd,1/1/17,au
Starboy,The Weeknd,1/1/17,lv
Starboy,The Weeknd,1/1/17,gr
Shape of You,Ed Sheeran,1/10/17,jp
Shape of You,Ed Sheeran,1/10/17,cz
Shape of You,Ed Sheeran,1/10/17,pl
Shape of You,Ed Sheeran,1/10/17,be
Shape of You,Ed Sheeran,1/10/17,hu
Shape of You,Ed Sheeran,1/10/17,fr
Shape of You,Ed Sheeran,1/10/17,ch
Shape of You,Ed Sheeran,1/10/17,my
Shape of You,Ed Sheeran,1/10/17,gr
Shape of You,Ed Sheeran,1/10/17,sk
Shape of You,Ed Sheeran,1/10/17,lu
Shape of You,Ed Sheeran,1/10/17,de
Shape of You,Ed Sheeran,1/10/17,at
Shape of You,Ed Sheeran,1/10/17,lt
Shape of You,Ed Sheeran,1/10/17,au
Shape of You,Ed Sheeran,1/10/17,ee
Shape of You,Ed Sheeran,1/10/17,lv
Shape of You,Ed Sheeran,1/10/17,hk
Shape of You,Ed Sheeran,1/10/17,nz
Shape of You,Ed Sheeran,1/10/17,sg
Shape of You,Ed Sheeran,1/10/17,dk
Shape of You,Ed Sheeran,1/10/17,ca
Shape of You,Ed Sheeran,1/10/17,id
Shape of You,Ed Sheeran,1/10/17,pt
Shape of You,Ed Sheeran,1/10/17,nl
Shape of You,Ed Sheeran,1/10/17,fi
Shape of You,Ed Sheeran,1/10/17,no
Shape of You,Ed Sheeran,1/10/17,it
Shape of You,Ed Sheeran,1/10/17,tw
Shape of You,Ed Sheeran,1/10/17,se
Shape of You,Ed Sheeran,1/10/17,is
Shape of You,Ed Sheeran,1/10/17,ie
Shape of You,Ed Sheeran,1/10/17,gb
Shape of You,Ed Sheeran,1/20/17,jp
Shape of You,Ed Sheeran,1/20/17,cz
Shape of You,Ed Sheeran,1/20/17,pl
