trackName,artist,date,region
Chantaje,Shakira,1/1/17,ar
Despacito (Featuring Daddy Yankee),Luis Fonsi,2/1/17,ar
Despacito (Featuring Daddy Yankee),Luis Fonsi,3/1/17,ar
Despacito (Featuring Daddy Yankee),Luis Fonsi,4/1/17,ar
Despacito - Remix,Luis Fonsi,5/1/17,ar
Felices los 4,Maluma,6/1/17,ar
Felices los 4,Maluma,7/1/17,ar
Mi Gente,J Balvin,8/1/17,ar
Mi Gente,J Balvin,9/1/17,ar
Criminal,Natti Natasha,10/1/17,ar
Criminal,Natti Natasha,11/1/17,ar
Sensualidad,Bad Bunny,12/1/17,ar
Alone,Alan Walker,1/1/17,at
Shape of You,Ed Sheeran,2/1/17,at
Shape of You,Ed Sheeran,3/1/17,at
Shape of You,Ed Sheeran,4/1/17,at
Despacito - Remix,Luis Fonsi,5/1/17,at
Despacito - Remix,Luis Fonsi,6/1/17,at
Thunder,Imagine Dragons,7/1/17,at
More Than You Know,Axwell /\ Ingrosso,8/1/17,at
More Than You Know,Axwell /\ Ingrosso,9/1/17,at
rockstar,Post Malone,10/1/17,at
Was Du Liebe nennst,Bausa,11/1/17,at
Was Du Liebe nennst,Bausa,12/1/17,at
Starboy,The Weeknd,1/1/17,au
Shape of You,Ed Sheeran,2/1/17,au
Shape of You,Ed Sheeran,3/1/17,au
Shape of You,Ed Sheeran,4/1/17,au
HUMBLE.,Kendrick Lamar,5/1/17,au
Despacito - Remix,Luis Fonsi,6/1/17,au
Despacito - Remix,Luis Fonsi,7/1/17,au
Wild Thoughts,DJ Khaled,8/1/17,au
Look What You Made Me Do,Taylor Swift,9/1/17,au
rockstar,Post Malone,10/1/17,au
rockstar,Post Malone,11/1/17,au
rockstar,Post Malone,12/1/17,au
Hey Baby,Dimitri Vegas & Like Mike,1/1/17,be
Shape of You,Ed Sheeran,2/1/17,be
Shape of You,Ed Sheeran,3/1/17,be
Shape of You,Ed Sheeran,4/1/17,be
Shape of You,Ed Sheeran,5/1/17,be
Despacito - Remix,Luis Fonsi,6/1/17,be
Despacito - Remix,Luis Fonsi,7/1/17,be
Here With You,Lost Frequencies,8/1/17,be
Here With You,Lost Frequencies,9/1/17,be
Complicated (feat. Kiiara),Dimitri Vegas & Like Mike,10/1/17,be
Complicated (feat. Kiiara),Dimitri Vegas & Like Mike,11/1/17,be
rockstar,Post Malone,12/1/17,be
ReggaetÃ³n Lento (Bailemos),CNCO,1/1/17,bo
Despacito (Featuring Daddy Yankee),Luis Fonsi,2/1/17,bo
Despacito (Featuring Daddy Yankee),Luis Fonsi,3/1/17,bo
Despacito (Featuring Daddy Yankee),Luis Fonsi,4/1/17,bo
Felices los 4,Maluma,5/1/17,bo
Felices los 4,Maluma,6/1/17,bo
Felices los 4,Maluma,7/1/17,bo
Mi Gente,J Balvin,8/1/17,bo
Mi Gente,J Balvin,9/1/17,bo
Me RehÃºso,Danny Ocean,10/1/17,bo
DÃ©jala Que Vuelva (feat. Manuel Turizo),Piso 21,11/1/17,bo
DÃ©jala Que Vuelva (feat. Manuel Turizo),Piso 21,12/1/17,bo
Deu Onda,MC G15,1/1/17,br
